command,count,num_people_using
cd,350622,802
ls,322207,787
rm,72123,741
git,438802,685
sudo,102289,682
cat,54273,649
mkdir,20403,643
mv,33723,633
ssh,78224,627
cp,23119,589
grep,65209,553
man,29610,537
echo,20102,490
ping,15331,487
python,48457,451
vim,114730,450
ps,14615,450
chmod,6617,446
sed,8361,405
wget,9293,402
find,21121,399
head,8075,389
which,7892,381
less,32751,380
curl,20356,372
tar,5329,365
sort,6869,361
make,36227,359
history,2726,355
scp,13477,355
touch,5980,346
pwd,6169,317
awk,4065,309
exit,15225,308
uniq,2453,307
tail,8130,300
kill,6466,291
clear,22453,290
ln,4919,277
open,13563,264
top,3371,257
ifconfig,2920,251
vi,43878,248
du,5592,240
l,21672,237
brew,18252,234
gem,6872,231
export,3379,226
killall,4605,226
"*/\n/g""",293,223
pip,6314,220
source,3069,217
df,4337,215
unzip,2425,213
ruby,7678,208
java,5001,204
wc,6217,200
diff,3830,194
whois,3345,186
npm,6337,182
bundle,13297,180
locate,3792,174
dig,5123,174
rake,12475,169
telnet,3489,168
ll,25041,167
fg,11778,162
node,6731,162
for,6624,161
htop,2826,156
mysql,2839,155
rails,13571,147
svn,10609,145
time,5000,144
file,2904,143
rmdir,1472,142
bash,1858,139
sh,3084,137
gcc,5978,136
nano,5678,131
su,3918,130
heroku,8192,126
php,4960,124
s,3359,123
irb,1820,122
./configure,1292,119
subl,6838,118
rvm,4526,117
rsync,4086,113
traceroute,1202,112
date,3521,112
tmux,6602,110
netstat,1038,110
ssh-keygen,479,109
sl,1504,105
emacs,7762,103
mount,1409,102
screen,5718,101
host,5444,99
ack,10798,98
hg,13927,96
openssl,1721,96
nslookup,1510,95
uname,449,93
nmap,1694,93
xargs,2652,93
psql,2212,93
ipython,2344,88
mplayer,14561,87
apt-cache,3580,85
go,16488,84
tree,1369,84
perl,4969,84
cut,5298,82
dmesg,1920,80
nc,2271,80
apt-get,2090,79
uptime,429,78
vagrant,4234,77
alias,1056,74
bg,2020,72
..,4045,72
zsh,414,71
dpkg,2268,71
watch,1877,71
while,2283,71
.,836,70
rbenv,2127,70
sqlite3,1046,70
w,1141,69
more,2228,69
convert,1027,67
ssh-add,699,67
zip,651,66
ip,1868,66
pkill,867,64
tig,2027,63
gpg,2198,62
la,3426,61
rspec,3677,61
chown,585,61
./a.out,2095,60
gdb,1475,60
